Title,Instruction,Yields,Preparation_min,Cooking_min,Meal_type,Cuisine,Energy_kj_portion,Energy_kcal_portion,Carbohydrate_g_portion,Protein_g_portion,Fat_g_portion,Fibre_g_portion,Sodium_mg_portion,Iron_mg_portion,B12_microg_portion,Iron_%rda_be_0-5m/f,Iron_%rda_be_6-9m/f,Iron_%rda_be_10-13m/f,Iron_%rda_be_14-60f,Iron_%rda_be_14-17m,Iron_%rda_be_18+m,Iron_%rda_be_60+f,Iron_%rda_uk_1-3m/f,Iron_%rda_uk_4-6m/f,Iron_%rda_uk_7-10m/f,Iron_%rda_uk_11-18m,Iron_%rda_uk_19-50m,Iron_%rda_uk_11-50f,Iron_%rda_uk_51+m/f,Iron_bioav%
Creole aubergines,"Heat two tablespoons of the oil in a frying pan over a medium heat. Add the chopped onions, garlic and peppers and fry in the oil, stirring well, until softened, about 3-4 minutes.
Meanwhile, heat the remaining oil in a saute pan or casserole and fry the aubergine cubes, in batches, for 4-6 minutes, or until golden-brown all over. Remove from the pan using a slotted spoon and set aside on a warmed plate. Repeat the process with the remaining batches of aubergine cubes.
Stir the hot paprika, sweet paprika and cumin into the onion mixture and cook for one minute, or until the spices are fragrant. Add the canned tomatoes, sugar and cooked aubergines, and season, to taste, with salt and freshly ground black pepper.
Pour 350ml/12½fl oz water into the pan, stir well and bring to the boil, then reduce the heat until the mixture is simmering. Simmer for 15-20 minutes, or until the mixture has thickened and is cooked through.
Serve the Creole aubergines sprinkled with chopped parsley and garnished with wedges of lime.",8,30,60,Side,American,641.561875,154.36,10.0945625,2.9135625,12.0466875,2.1559375,108.994375,1.83358125,0,22.91976563,20.373125,16.66892045,12.223875,16.66892045,20.373125,20.373125,26.5736413,30.05870902,21.07564655,16.22638274,21.07564655,12.3890625,21.07564655,32.11766848
Crunchy pepper salad with lemon and olive oil dressing,"In a large bowl, mix together the lettuce, red and yellow pepper, onion and parsley.
In a small bowl, whisk together the lemon zest, lemon juice and olive oil, then season with salt and freshly ground black pepper.
To serve, drizzle the dressing over the salad and mix well to coat. Serve piled on a serving plate.",1,15,0,Main,European,1825.37,442.605,6.624,2.347,45.39,3.5115,799.635,1.69105,0,21.138125,18.78944444,15.37318182,11.27366667,15.37318182,18.78944444,18.78944444,24.50797101,27.72213115,19.43735632,14.96504425,19.43735632,11.42601351,19.43735632,43.74317828
Cucumber ribbon salad with olive and caper dressing,"Place all of the ingredients except the cucumber in a food processor and pulse until smooth.
Place the cucumber ribbons into a bowl and drizzle over the dressing. Toss well to coat then transfer to a plate to serve.",1,30,0,Main,European,2036.07,493.73,5.444,3.27,50.811,2.5,545.51,2.344,0,29.3,26.04444444,21.30909091,15.62666667,21.30909091,26.04444444,26.04444444,33.97101449,38.42622951,26.94252874,20.74336283,26.94252874,15.83783784,26.94252874,30.21296869
Fattoush salad,"Heat the vegetable oil in a deep-fat fryer until it reaches about 170C, or a cube of bread browns in 30 seconds. (CAUTION: hot oil can be dangerous. Do not leave unattended.)
Deep-fry the pitta bread for 2-3 minutes, or until golden-brown. Drain on kitchen paper and sprinkle with sea salt.
To make the dressing, whisk the ingredients together in a small jug. Season with salt and pepper.
To make the salad, place the tomatoes, cucumber lettuce, herbs and olives in a large bowl. Pour over the dressing and mix well.
Scatter with the fried pitta, pomegranate seeds and a sprinkle of sumac before serving.",4,30,10,Main,Middle Eastern,1893.11125,456.2825,26.346875,4.1015,38.01225,1.846625,445.14375,2.0562625,0,25.70328125,22.84736111,18.69329545,13.70841667,18.69329545,22.84736111,22.84736111,29.8009058,33.70922131,23.63520115,18.19701327,23.63520115,13.89366554,23.63520115,8.645992122
Foolproof green salad,"For the dressing, put the oil, vinegars, mustard, sugar and salt and pepper in a bowl and whisk until evenly combined and thickened. Taste and season again if needed, then mix in the dill.
Put the spring onions, celery and fennel in a large salad bowl. Pour in the dressing and toss well.
Place half the cucumber and half the mixed leaves, Romaine lettuce and rocket in the bowl. Season, then top with the remaining cucumber, leaves, Romaine lettuce and rocket. Season well and chill for up to 4 hours
Just before serving, toss everything together.",10,30,0,Side,European,563.816,136.372,3.7854,1.8629,12.60985,1.45265,191.492,0.861355,0,10.7669375,9.570611111,7.8305,5.742366667,7.8305,9.570611111,9.570611111,12.4834058,14.12057377,9.900632184,7.622610619,9.900632184,5.819966216,9.900632184,21.9311378
Garlic toast with roasted pepper and herb salad,"Preheat the oven to 220C/425F/Gas 7.
For the garlic toast, heat a griddle pan and griddle the bread on both sides until toasted. Drizzle over half of the olive oil and rub the peeled garlic clove over the bread.
Place the rest of the bulb of garlic onto a baking sheet, drizzle with the remaining olive oil and transfer to the oven to roast for 15 minutes, or until softened.
For the roasted pepper and herb salad, place the pepper onto a baking sheet, drizzle with one tablespoon of the olive oil and roast in the oven for 15 minutes, or until softened.
Remove the pepper from the oven and place into a bowl. Cover with cling film and leave to cool slightly, then peel the skin off the pepper and roughly chop.
Place all the herbs into a bowl with the remaining olive oil and the lemon juice. Season with salt and freshly ground black pepper and stir well to coat the herbs.
To serve, place the garlic toast onto a plate along with the salad and the roasted garlic bulb to squeeze onto the toast.",1,30,30,Main,European,7470.925,1778,229.4275,40.572,84.209,13.4865,2391.075,8.73905,0,109.238125,97.10055556,79.44590909,58.26033333,79.44590909,97.10055556,97.10055556,126.6528986,143.2631148,100.4488506,77.33672566,100.4488506,59.04763514,100.4488506,19.32876551
Gigantes with tomatoes and greens,"Drain the beans, cover with fresh water and bring to the boil. Turn down to a simmer and cook for 1½-2 hours until the beans are just tender.
Gently soften the onion and garlic in 2 tablespoons of the olive oil for 5 minutes. When soft, stir in the paprika, tomato puree, chopped tomatoes, 100ml/3½fl oz water, salt and pepper.
Bring to the boil then reduce to a simmer and cook for 30 minutes. Stir in the chard and take off the heat.
Preheat the oven to 160C/140C Fan/Gas 3.
When the beans are cooked, drain them and mix with the tomato and chard sauce, adding a further 2 tablespoons of olive oil and the chopped herbs.
Transfer the beans to a casserole pan, drizzle with the remaining olive oil and bake for 35-40 minutes until the beans are tender and the sauce thickened and bubbling. Serve hot, warm or at room temperature.",8,720,120,Main,European,1295.025,308.215625,36.683125,14.08125,12.778,0.776125,188.82625,5.2450625,0,65.56328125,58.27847222,47.68238636,34.96708333,47.68238636,58.27847222,58.27847222,76.01539855,85.98463115,60.28807471,46.4164823,60.28807471,35.43961149,60.28807471,4.344111322
Glazed pak choi with crispy shallots,"Heat one tablespoon of the vegetable oil in a wok and saute the pak choi for one minute. Add the garlic and cook for another minute. Add the soy sauce and stir well.
Heat the oil in a deep, heavy-bottom saucepan. It is ready when a breadcrumb sizzles gently in it. (CAUTION: hot oil can be dangerous; do not leave unattended.) Deep fry the shallots in the oil until golden. Remove with a slotted spoon and drain on kitchen paper.
To serve, spoon the pak choi onto a plate and sprinkle over the crispy shallots and cashew nuts.",1,30,30,Main,Asian,2042.45,492.95,21.305,14.495,39.445,5,1759.2,6.65,0,83.125,73.88888889,60.45454545,44.33333333,60.45454545,73.88888889,73.88888889,96.37681159,109.0163934,76.43678161,58.84955752,76.43678161,44.93243243,76.43678161,11.50742071
Herb and tomato couscous with green beans,"Place the couscous into a heatproof bowl, pour over the hot stock and olive oil and cover with cling film. Leave to stand for five minutes.
Add the beans, tomatoes, lemon juice and parsley to the couscous. Season, to taste, with salt and freshly ground black pepper and stir well.
To serve, place the couscous onto serving plates.",2,30,10,Main,European,1688.06,400.59,53.342,12.621,17.26125,7.71325,835.88,3.437775,0,42.9721875,38.1975,31.2525,22.9185,31.2525,38.1975,38.1975,49.82282609,56.35696721,39.51465517,30.42278761,39.51465517,23.22820946,39.51465517,14.49350871
Herb risotto,"Heat the oil in a saucepan, add the onion and fry gently until softened.
Add the garlic and cook for one minute, then add the rice and stir well to coat the grains.
Add a ladleful of hot stock to the pan and stir well until almost all of the stock has been absorbed. Repeat with the rest of the stock until all the stock has been absorbed and the rice is tender.
Stir in the margarine and herbs, reserving some for the garnish, and season well with salt and freshly ground black pepper.
To serve, transfer the risotto to a bowl and garnish with the remaining herbs.",1,30,30,Main,European,5688.846,1351.824,212.335,22.747,53.7389,3.4265,2829.85,5.91995,0,73.999375,65.77722222,53.81772727,39.46633333,53.81772727,65.77722222,65.77722222,85.79637681,97.04836066,68.0454023,52.38893805,68.0454023,39.99966216,68.0454023,6.735291001
Kale and quinoa salad with orange tahini dressing,"Put the quinoa in a bowl and cover with approximately 700ml/1¼ pints cold water. Set aside to soak overnight (or for at least 8 hours).
Drain the quinoa and transfer to a very large saucepan. Cover with 350ml/12fl oz water and bring to the boil. Reduce the heat and simmer for 10-12 minutes, or until the quinoa is tender.
Drain the quinoa and put in a large mixing bowl. Drizzle over the olive oil and season with sea salt.
Meanwhile, for the dressing, whisk together all of the dressing ingredients until smooth, creamy and well combined, adding a splash of warm water to loosen the mixture if necessary. Season with pepper. Set aside.
Heat the coconut oil in a frying pan over a medium heat until melted. Add the kale and stir-fry for 1-2 minutes, adding the garlic after 1 minute. Continue to fry until the kale is just tender, then tip it into the quinoa and stir to combine.
To serve, divide the kale and quinoa saute equally among 4 plates, garnish with the orange zest. Drizzle over the tahini dressing and scatter over the herbs.",4,720,30,Main,European,1910.643,454.0595,52.99175,18.23535,20.325275,6.153825,121.405,10.0697275,0,125.8715938,111.8858611,91.54297727,67.13151667,91.54297727,111.8858611,111.8858611,145.9380797,165.0775,115.7439943,89.11263274,115.7439943,68.03869932,115.7439943,15.39509948
"Lentil, bean and kale salad","Soak the lentils and beans overnight, or for at least 8 hours. Rinse the lentils and beans and put into a saucepan of cold water. Bring to the boil and cook for 10 minutes, removing any scum that comes to the surface. Reduce to a simmer and cook for 30 minutes, or until tender. Drain and rinse. (Skip this step if using tinned lentils, just warm them through in a saucepan with a splash of water.)
To make the dressing, put all the ingredients into a lidded jar and shake vigorously until combined. Taste and adjust with more lemon, if needed. Put into a saucepan and warm over a low heat.
Toss the beans and lentils with the remaining salad ingredients. Drizzle over the dressing to taste and serve.",4,720,60,Main,European,1800.2925,432.6075,25.96625,12.44625,31.72575,0,185.625,5.57325,0,69.665625,61.925,50.66590909,37.155,50.66590909,61.925,61.925,80.77173913,91.3647541,64.06034483,49.32079646,64.06034483,37.65709459,64.06034483,5.403987263
Lime and ginger slaw,"For the slaw, mix together all the slaw ingredients in large bowl.
For the dressing, whisk all of the dressing ingredients together until well combined. Drizzle over the slaw and mix until all the vegetables are well coated in the dressing. Serve.",4,30,0,Side,Asian,1791.075,434.05,11.61375,6.2575,39.82,4.5375,550.65,3.984375,0,49.8046875,44.27083333,36.22159091,26.5625,36.22159091,44.27083333,44.27083333,57.74456522,65.31762295,45.79741379,35.25995575,45.79741379,26.9214527,45.79741379,16.32472212
Mediterranean-style salad with tapenade,"For the tapenade, place the garlic, olives and oil into a mini food processor and blend until smooth.
For the Mediterranean-style salad, place all of the salad ingredients into a bowl and mix well.
To serve, place the salad onto a plate with the tapenade drizzled over.",1,30,0,Main,European,1813.17,438.858,9.1628,2.6152,43.7222,2.6,674.34,2.419,0,30.2375,26.87777778,21.99090909,16.12666667,21.99090909,26.87777778,26.87777778,35.05797101,39.6557377,27.8045977,21.40707965,27.8045977,16.34459459,27.8045977,27.6498876
Mushroom and stout veggie puddings,"For the suet pastry, in a large bowl, mix together the flour, suet, salt and chopped parsley.
Gradually add the water in a thin stream, stirring continuously with a fork, until the mixture comes together as a dough. (NB: You may not need to use all of the water.)
Turn the dough out onto a lightly floured work surface and knead lightly for 1-2 minutes. Wrap the dough in cling film and chill in the fridge for 15-20 minutes.
Meanwhile, for the filling, heat the oil in a pan over a medium heat. Add the shallots and chopped garlic and fry for 8-10 minutes, or until softened.
Add the thyme leaves, mushroom ketchup and Irish stout. Continue to cook for 2-3 minutes, stirring well.
Add the stock and mushrooms and bring the mixture to a simmer. Continue to simmer for 10-12 minutes, or until the volume of liquid has reduced slightly and the filling mixture has thickened. Season, to taste, with salt and freshly ground black pepper. Set aside to cool slightly.
Once the pastry has chilled, divide it into four equal pieces
Pinch off a quarter of the first portion of pastry and set aside to use as the pudding lid. Roll out the remaining pastry portion onto a lightly floured work surface until it forms a circle large enough to line one of the pudding basins.
Carefully lift the pastry using a rolling pin and line the pudding basin with it. Allow any excess pastry to hang over the sides of the basin.
Spoon a quarter of the filling mixture into the pudding basin.
Roll out the reserved pastry lid onto a lightly floured work surface until it is slightly larger in diameter than the pudding basin.
Brush the rim of the lined pudding basin with water. Cover the pudding with the pastry lid and press the edges of the pastry together to seal. Trim away any excess pastry, then cover the exposed lid of the pudding with a double sheet of aluminium foil, pleated in the middle to allow room for expansion as the pudding cooks.
Repeat the process with the remaining three portions of pastry, the remaining filling and the remaining pudding basins.
Prepare a steamer pan, then steam the puddings in the pan for 40-45 minutes, or until cooked through.
When the puddings are cooked through, carefully remove them from the steamer pan using oven gloves. Set aside.
When the pudding basins are cool enough to handle, unwrap the top of the puddings. Remove the foil from each pudding basin. Invert one pudding onto each of four serving plates.
Serve immediately with steamed courgettes and carrots.",4,100,45,Main,European,1925.692,460.393,54.0418,8.1825,24.322025,4.314125,779.197,2.6910125,0,33.63765625,29.90013889,24.46375,17.94008333,24.46375,29.90013889,29.90013889,39.00018116,44.11495902,30.93117816,23.81426991,30.93117816,18.18251689,30.93117816,8.917496234
"Mushroom stuffed with spinach, breadcrumbs, garlic and herbs","Preheat the oven to 180C/350F/Gas 4.
Remove the stalk from the mushroom and chop it finely. Heat the oil in a frying pan and gently fry the chopped mushroom stalk for one minute.
Add the breadcrumbs, parsley and garlic and fry for 2-3 minutes. Add the chopped spinach, season, to taste, with salt and freshly ground black pepper and fry for a further minute.
Place the mushroom onto a baking sheet and fill with the breadcrumb mixture. Transfer to the oven and bake for 6-8 minutes, or until the topping is golden-brown and the mushroom is softened.
To serve, place the stuffed mushroom onto a serving plate.",1,30,30,Main,European,1004.571,240.449,24.6425,5.882,13.8489,1.814,1020.1,2.3212,0,29.015,25.79111111,21.10181818,15.47466667,21.10181818,25.79111111,25.79111111,33.64057971,38.05245902,26.68045977,20.54159292,26.68045977,15.68378378,26.68045977,13.56635779
"Penne with chilli, garlic, herbs and olive oil","Place the oil, parsley, garlic, chilli flakes and salt into a food processor and blend until smooth.
Stir the mixture into the cooked penne pasta, and pile onto a plate. Garnish with fresh torn basil leaves and the shavings of white truffle.",1,30,10,Main,European,2518.682,603.998,57.1058,9.855,39.8994,5.56,402.632,3.3465,0,41.83125,37.18333333,30.42272727,22.31,30.42272727,37.18333333,37.18333333,48.5,54.86065574,38.46551724,29.61504425,38.46551724,22.61148649,38.46551724,9.113105669
Red pepper and shallot salad,"In a medium bowl mix the salad ingredients together until well combined.
In a small bowl mix the dressing ingredients together.
Mix the dressing ingredients into salad and serve.",1,10,0,Main,European,1332.552,322.404,9.8862,3.5354,30.0269,4.0165,1504.034,3.33575,0,41.696875,37.06388889,30.325,22.23833333,30.325,37.06388889,37.06388889,48.3442029,54.68442623,38.34195402,29.5199115,38.34195402,22.53885135,38.34195402,30.20257886
Roasted tomato and rocket salad,"Preheat the oven to 200C/400F/Gas 6.
For the roasted tomatoes, place the tomatoes onto a baking sheet, drizzle with olive oil and season well with salt and freshly ground black pepper.
Transfer to the oven and roast for 10-12 minutes, or until softened.
For the salad, place the rocket, olive oil and balsamic vinegar into a large bowl and stir well to coat the leaves.
To serve, place the rocket salad onto a serving plate and top with the roasted tomatoes.",1,30,30,Main,European,1550.402,375.844,5.4456,2.0024,38.5587,2.204,794.73,0.81785,0,10.223125,9.087222222,7.435,5.452333333,7.435,9.087222222,9.087222222,11.85289855,13.40737705,9.400574713,7.237610619,9.400574713,5.526013514,9.400574713,25.23694395
Rocket and potato soup,"Heat the oil in a saucepan and saute the onion and potato for a few minutes, to soften.
Season with salt and freshly ground black pepper, add the garlic, bay leaf and thyme. Stir and heat for another 1-2 minutes.
Pour in the chicken stock and bring to the boil. Reduce the heat and add the rocket. Simmer gently for 10-15 minutes.
Transfer to a blender and blend until smooth. Return to the pan and warm through.
For the pesto, blend the olive oil, garlic, seasoning and rocket in a mini food processor until smooth.
Ladle the soup into a bowl and drizzle the pesto over to serve.",1,30,30,Main,European,3176.9,766.02,44.411,8.064,66.022,6.7985,4059.68,6.1024,0,76.28,67.80444444,55.47636364,40.68266667,55.47636364,67.80444444,67.80444444,88.44057971,100.0393443,70.14252874,54.00353982,70.14252874,41.23243243,70.14252874,9.449096297
Saffron couscous with roasted tomatoes,"Preheat the oven to 180C/350F/Gas 4.
For the couscous, pour the couscous into a large saucepan and add the saffron, stock and olive oil. Heat gently for about 5-6 minutes and then remove from the heat.
Combine the lemon juice and zest and the chopped herbs in a bowl and add to the couscous. Finally fold in the chopped tomato.
For the roasted tomatoes, heat the oil in an ovenproof frying pan and fry the tomatoes, turning once, until they have taken on some colour. Season with salt and freshly ground black pepper and add the thyme sprigs and garlic to the pan. Place the pan into the oven to roast the tomatoes for 10-12 minutes.
To serve, pile the couscous onto a serving plate and top with the roasted tomatoes.",1,30,30,Main,Middle Eastern,3829.782,913.748,94.9746,20.959,55.1405,10.9615,2550.494,9.53875,0,119.234375,105.9861111,86.71590909,63.59166667,86.71590909,105.9861111,105.9861111,138.2427536,156.3729508,109.6408046,84.41371681,109.6408046,64.45101351,109.6408046,14.98136715
Savoury coconut rice,"Place all of the ingredients except the coriander in a saucepan and bring to the boil. Simmer for 10-12 minutes, or until the rice is tender, adding more water if necessary.
Stir in the coriander and spoon into bowls to serve.",1,30,30,Main,Asian,2519.6,591.5,138.205,14.91,1.53,4.29,1256.25,4.191,0,52.3875,46.56666667,38.1,27.94,38.1,46.56666667,46.56666667,60.73913043,68.70491803,48.17241379,37.08849558,48.17241379,28.31756757,48.17241379,6.379144051
Scarlet salad,"Cut the fennel bulbs into wafer-thin slices and put into a large bowl with the orange segments and paprika. Stir well, cover and put in the fridge for at least an hour, but preferably overnight.
To make the dressing, put the ingredients into a bowl and mix. The mustard should emulsify the mixture to make a smooth dressing. Season to taste.
To make the salad, put the sunflower seeds and pine nuts into a heavy-based pan and toast them over low heat for 5 minutes, until they take on a rich brown colour - be careful not to burn them.
Put the salad leaves, cucumber, kale, rocket and tomatoes into a serving bowl. Pour half the dressing into the bowl and toss the salad.
Drain the fennel, reserving a few orange slices for decoration, and toss into the salad. Sprinkle over the sunflower seeds and pine nuts. Arrange the orange slices on top and drizzle the remaining dressing over the salad. Garnish with the edible flowers, if using, and serve immediately.",4,720,0,Main,European,1187.1565,285.888,13.04445,9.071625,22.30845,3.72305,284.2435,3.2456425,0,40.57053125,36.06269444,29.50584091,21.63761667,29.50584091,36.06269444,36.06269444,47.0382971,53.2072541,37.30623563,28.7225,37.30623563,21.93001689,37.30623563,10.5450322
